,TaskID,arg_wts,train_split,train_round,total_timesteps_each_trace,gradient_steps,learning_rate,thre_for_fix_a,if_single_env,assigned_gravity,total_used_num,arg_generate_train_trace_num,total_test_trace_num,log_interval,arg_total_trial_num,arg_reward_weight,arg_test_param,arg_exp_type,arg_ppo_train_time,arg_use_exist_trace,arg_exist_trace_id,exp_id
0,1.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,1.0
1,2.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,2.0
2,3.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,3.0
3,4.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,4.0
4,5.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,5.0
5,6.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,6.0
6,7.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,7.0
7,8.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,8.0
8,9.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,9.0
9,10.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,10.0
10,11.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,11.0
11,12.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,12.0
12,13.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,13.0
13,14.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,14.0
14,15.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,15.0
15,16.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,16.0
16,17.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,17.0
17,18.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,18.0
18,19.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,19.0
19,20.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,20.0
20,21.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,21.0
21,22.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,22.0
22,23.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,23.0
23,24.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,24.0
24,25.0,500.0,0.5,400.0,1.0,20.0,1e-05,-99.0,0.0,-10.0,8.0,1.0,10.0,5.0,3.0,-1.0,20.0,3.0,3.0,0.0,0.0,25.0
