TaskID	 arg_wts	 train_split	 train_round	 total_timesteps_each_trace	 gradient_steps	 learning_rate	 thre_for_fix_a	                if_single_env	 assigned_gravity	 total_used_num	 arg_generate_train_trace_num	 total_test_trace_num	 log_interval	 arg_total_trial_num	 arg_reward_weight	 arg_test_param	 arg_exp_type	 arg_ppo_train_time	 arg_use_exist_trace	 arg_exist_trace_id	 exp_id
1	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	1	
2	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	2	
3	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	3	
4	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	4	
5	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	5	
6	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	6	
7	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	7	
8	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	8	
9	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	9	
10	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	10	
11	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	11	
12	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	12	
13	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	13	
14	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	14	
15	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	15	
16	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	16	
17	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	17	
18	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	18	
19	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	19	
20	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	20	
21	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	21	
22	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	22	
23	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	23	
24	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	24	
25	500	0.5	400	1	20	1e-05	-99	                            0	-10.0	8	1	10	                5	3	 -1.0	 20	3	3	0	0	25	
