,TaskID,arg_wts,train_split,train_round,total_timesteps_each_trace,gradient_steps,learning_rate,thre_for_fix_a,if_single_env,assigned_gravity,total_used_num,arg_generate_train_trace_num,total_test_trace_num,log_interval,arg_total_trial_num,arg_reward_weight,arg_test_param,arg_exp_type,arg_ppo_train_time,arg_use_exist_trace,arg_exist_trace_id,arg_if_constrain_on_s,arg_thre_for_s,arg_s_index,exp_id
0,1.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.23,2.0,1.0
1,2.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.23,2.0,2.0
2,3.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.23,2.0,3.0
3,4.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.23,2.0,4.0
4,5.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.23,2.0,5.0
5,6.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.23,2.0,6.0
6,7.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.23,2.0,7.0
7,8.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.18,2.0,1.0
8,9.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.18,2.0,2.0
9,10.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.18,2.0,3.0
10,11.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.18,2.0,4.0
11,12.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.18,2.0,5.0
12,13.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.18,2.0,6.0
13,14.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.18,2.0,7.0
14,15.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.13,2.0,1.0
15,16.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.13,2.0,2.0
16,17.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.13,2.0,3.0
17,18.0,100.0,0.5,4000.0,1.0,20.0,1e-05,-99.0,1.0,-9.0,24.0,1.0,10.0,5.0,1.0,-1.0,20.0,1.0,5.0,1.0,11.0,1.0,0.13,2.0,4.0
