TaskID	 arg_wts	 train_split	 train_round	 total_timesteps_each_trace	 gradient_steps	 learning_rate	 thre_for_fix_a	                if_single_env	 assigned_gravity	 total_used_num	 arg_generate_train_trace_num	 total_test_trace_num	 log_interval	 arg_total_trial_num	 arg_reward_weight	 arg_test_param	 arg_exp_type	 arg_ppo_train_time	 arg_use_exist_trace	 arg_exist_trace_id	 arg_if_constrain_on_s	 arg_thre_for_s	 arg_s_index	exp_id
1	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.23	2	1	
2	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.23	2	2	
3	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.23	2	3	
4	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.23	2	4	
5	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.23	2	5	
6	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.23	2	6	
7	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.23	2	7	
8	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.18	2	1	
9	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.18	2	2	
10	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.18	2	3	
11	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.18	2	4	
12	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.18	2	5	
13	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.18	2	6	
14	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.18	2	7	
15	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.13	2	1	
16	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.13	2	2	
17	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.13	2	3	
18	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.13	2	4	
19	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.13	2	5	
20	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.13	2	6	
21	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.13	2	7	
22	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.08	2	1	
23	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.08	2	2	
24	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.08	2	3	
25	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.08	2	4	
26	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.08	2	5	
27	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.08	2	6	
28	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.08	2	7	
29	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.0	2	1	
30	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.0	2	2	
31	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.0	2	3	
32	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.0	2	4	
33	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.0	2	5	
34	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.0	2	6	
35	100	0.5	4000	1	20	1e-05	-99	                            0	-9.0	12	1	10	                5	1	 -1.0	 20	3	3	1	1	1	0.0	2	7	
