TaskID	 arg_wts	 train_split	 train_round	 total_timesteps_each_trace	 gradient_steps	 learning_rate	 thre_for_fix_a	                if_single_env	 assigned_gravity	 total_used_num	 arg_generate_train_trace_num	 total_test_trace_num	 log_interval	 arg_total_trial_num	 arg_reward_weight	 arg_test_param	 arg_exp_type	 arg_ppo_train_time	 arg_use_exist_trace	 arg_exist_trace_id	 arg_if_constrain_on_s	 arg_thre_for_s	 arg_s_index	 arg_if_use_user_input	 arg_user_input_action	 exp_id
1	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0_0	1
2	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0_0	2
3	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0_0	3
4	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0_0	4
5	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0_0	5
6	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0_0	6
7	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0_0	7
8	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.1_0	1
9	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.1_0	2
10	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.1_0	3
11	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.1_0	4
12	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.1_0	5
13	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.1_0	6
14	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.1_0	7
15	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.3_0	1
16	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.3_0	2
17	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.3_0	3
18	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.3_0	4
19	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.3_0	5
20	100	0.5	4000	1	20	1e-05	-99	                            1	-9.0	24	1	10	                5	1	 -1.0	 20	1	5	1	11	1	0.18	2	1	0.3_0	6
