,TaskID,arg_wts,train_split,train_round,total_timesteps_each_trace,gradient_steps,learning_rate,thre_for_fix_a,if_single_env,assigned_gravity,total_used_num,arg_generate_train_trace_num,total_test_trace_num,log_interval,arg_total_trial_num,arg_reward_weight,arg_test_param,arg_exp_type,arg_ppo_train_time,arg_use_exist_trace,arg_exist_trace_id,arg_if_constrain_on_s,arg_thre_for_s,arg_s_index,arg_if_use_user_input,arg_user_input_action,exp_id
0,1,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0_0,1
1,2,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0_0,2
2,3,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0_0,3
3,4,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0_0,4
4,5,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0_0,5
5,6,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0_0,6
6,7,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0_0,7
7,8,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.1_0,1
8,9,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.1_0,2
9,10,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.1_0,3
10,11,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.1_0,4
11,12,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.1_0,5
12,13,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.1_0,6
13,14,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.1_0,7
14,15,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.3_0,1
15,16,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.3_0,2
16,17,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.3_0,3
17,18,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.3_0,4
18,19,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.3_0,5
19,20,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.3_0,6
20,21,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.18,2,1,0.3_0,7
21,22,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0_0,1
22,23,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0_0,2
23,24,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0_0,3
24,25,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0_0,4
25,26,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0_0,5
26,27,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0_0,6
27,28,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0_0,7
28,29,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.1_0,1
29,30,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.1_0,2
30,31,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.1_0,3
31,32,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.1_0,4
32,33,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.1_0,5
33,34,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.1_0,6
34,35,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.1_0,7
35,36,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.3_0,1
36,37,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.3_0,2
37,38,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.3_0,3
38,39,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.3_0,4
39,40,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.3_0,5
40,41,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.3_0,6
41,42,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.13,2,1,0.3_0,7
42,43,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.08,2,1,0_0,1
43,44,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.08,2,1,0_0,2
44,45,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.08,2,1,0_0,3
45,46,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.08,2,1,0_0,4
46,47,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.08,2,1,0_0,5
47,48,100,0.5,4000,1,20,1e-05,-99,0,-9.0,8,1,10,5,1,-1.0,20,3,3,1,1,1,0.08,2,1,0_0,6
